value,prediction,pH,fold
0.0,-1.3505626,0.8594179109501565,0
0.0,-1.320182,0.8594179109501565,0
0.0,-1.0938765,0.8594179109501565,0
0.0,-2.8401637,0.958419382112018,0
0.0,-2.555969,0.46341202630271083,0
0.0,-2.5003262,0.36441055514084936,0
0.0,-2.6684132,0.6614149686264338,0
0.0,-2.7824864,0.8594179109501565,0
0.0,-2.6119938,0.5624134974645723,0
0.0,-2.7252405,0.7604164397882952,0
0.0,-2.4450529,0.2654090839789879,0
1.0,-1.3762625,0.8594179109501565,0
0.0,-0.9241438,0.8594179109501565,0
0.0,-0.6506018,0.8594179109501565,0
0.0,0.4594409,0.8594179109501565,0
0.0,-1.7998238,0.6614149686264338,0
0.0,-1.727777,0.5624134974645723,0
0.0,-1.9444853,0.8594179109501565,0
0.0,-1.584202,0.36441055514084936,0
0.0,-2.0171185,0.958419382112018,0
0.0,-1.872057,0.7604164397882952,0
0.0,-1.6559064,0.46341202630271083,0
0.0,-1.5126541,0.2654090839789879,0
0.0,-2.6417255,0.6614149686264338,0
0.0,-2.5043547,0.46341202630271083,0
0.0,-2.7802994,0.8594179109501565,0
0.0,-2.5728948,0.5624134974645723,0
0.0,-2.4360936,0.36441055514084936,0
0.0,-2.3681002,0.2654090839789879,0
0.0,-2.710857,0.7604164397882952,0
0.0,-2.850062,0.958419382112018,0
0.0,-1.2578026,0.8594179109501565,0
0.0,-2.6791062,0.36441055514084936,0
0.0,-2.9646792,0.8594179109501565,0
0.0,-2.8495111,0.6614149686264338,0
0.0,-2.906931,0.7604164397882952,0
0.0,-2.7356107,0.46341202630271083,0
0.0,-2.622883,0.2654090839789879,0
0.0,-2.7924085,0.5624134974645723,0
0.0,-3.0227666,0.958419382112018,0
1.0,-1.709362,0.2654090839789879,0
1.0,-1.9230773,0.7604164397882952,0
1.0,-2.0113497,0.958419382112018,0
1.0,-1.8795717,0.6614149686264338,0
1.0,-1.9669981,0.8594179109501565,0
1.0,-1.836464,0.5624134974645723,0
1.0,-1.7513764,0.36441055514084936,0
1.0,-1.7937384,0.46341202630271083,0
0.0,-2.2395077,0.8594179109501565,0
0.0,-1.9452344,0.8594179109501565,0
0.0,-1.9452345,0.8594179109501565,0
1.0,1.532294,0.8594179109501565,0
0.0,-0.534908,0.8594179109501565,0
1.0,-1.2019386,0.8594179109501565,0
1.0,-0.52999526,0.8594179109501565,0
0.0,-1.7883117,0.5624134974645723,0
0.0,-1.7434455,0.46341202630271083,0
0.0,-1.8786293,0.7604164397882952,0
0.0,-1.8333672,0.6614149686264338,0
0.0,-1.9698423,0.958419382112018,0
0.0,-1.9241155,0.8594179109501565,0
0.0,-1.6987513,0.36441055514084936,0
0.0,-1.6542119,0.2654090839789879,0
1.0,-0.8783227,0.8594179109501565,0
0.0,-2.6181364,0.958419382112018,0
0.0,-2.4468572,0.6614149686264338,0
0.0,-2.5607495,0.8594179109501565,0
1.0,-2.3340495,0.46341202630271083,0
0.0,-2.222213,0.2654090839789879,0
0.0,-2.5036607,0.7604164397882952,0
1.0,-2.3903248,0.5624134974645723,0
0.0,-2.2780173,0.36441055514084936,0
0.0,-0.6939707,0.8594179109501565,0
1.0,0.1284267,0.16640761281712646,0
1.0,-1.7527432,0.8594179109501565,0
1.0,-1.4537903,0.8594179109501565,0
0.0,-1.327781,0.8594179109501565,0
0.0,-2.654236,0.6614149686264338,0
0.0,-2.597604,0.5624134974645723,0
0.0,-2.429536,0.2654090839789879,0
0.0,-2.768494,0.8594179109501565,0
0.0,-2.8261445,0.958419382112018,0
0.0,-2.5412855,0.46341202630271083,0
0.0,-2.4852676,0.36441055514084936,0
0.0,-2.711195,0.7604164397882952,0
1.0,-0.6506018,0.8594179109501565,0
0.0,-3.0330884,0.5624134974645723,0
0.0,-2.9748325,0.46341202630271083,0
0.0,-3.270389,0.958419382112018,0
0.0,-3.0917623,0.6614149686264338,0
0.0,-2.916985,0.36441055514084936,0
0.0,-2.859535,0.2654090839789879,0
0.0,-3.2104037,0.8594179109501565,0
0.0,-3.1508644,0.7604164397882952,0
